keys;de;en
START_GAME;Starte das Spiel;Start Game
NEXT;Weiter;Next
STORYLINETEXT;"Herzlich willkommen,\nheute ist euer erster Tag bei SoftwareAndStuff inc. Wie ihr sicher wisst, sind wir ein \n Traditionsunternehmen im Bereich des Projektmanagement. Das heißt jedoch nicht, dass\nwir langweilig oder altbacken sind. Letztes Jahr haben wir im Unternehmen ""agile"" eingeführt\nund es funktioniert ganz wunderbar. Euer Projekt ist die Software zur internen Berichtserstattung.\nDabei werdet ihr in einem interdisziplinären Team arbeiten. Da wäre zum einen Harald. Harald ist euer Teamleiter. Er\nist zwar etwas von alter Schule, aber gibt sein bestes euch zu unterstützen. Mathilde kommt aus der Quality Assurance und wird euch dahingehend beraten. Sabine ist die Kundenmanagerin. Aufgrund von Personalmangel muss sie aber noch an anderen Stellen mit aushelfen. Habt bitte etwas Nachsicht mit ihr. Dann wäre da noch Mark. Er repräsentiert unseren wichtigsten Kunden. Ihr solltet nie direkt mit ihm Kontakt haben, das übernimmt Sabine. Es schadet aber ja nicht, zu wissen für wen man arbeitet.";Welcome,\nToday is your first day at SoftwareAndStuff inc. As you probably know, we are a\ntraditional company in the field of project management. But that doesn't mean we're boring\nor old-fashioned. Last year we introduced “agile” in the company and it works wonderfully. Your\nproject is the software for internal reporting.You will be working in an interdisciplinary team. Firstly, there's\nHarald. Harald is your team leader. He\'s a bit old school, but will do his best to support you. Mathilde comes from Quality Assurance and will advise you on this. Sabine is the customer manager. However, due to staff shortages, she has to help out in other areas. Please bear with her. Then there's Mark. He represents our most important customer. You should never have direct contact with him, Sabine takes care of that. But it doesn't hurt to know who you're working for.
TYPE_OF_TICKET;Art des Tickets;ticket type
NEEDED_STORYPOINTS;benötigte Storypoints;number of storypoints needed
TICKET_DESCRIPTION;Ticketbeschreibung;ticket description
EFFECT_IMPLICATION;Effekt kann positiv, negativ oder unbekannt sein;implies if effect is positive, negative or unknown
TICKET_CONSEQUENZ;Konsequenz des Tickets auf die Story;consequences of the ticket on the storyline
TICKET_EFFECT;Ticketeffekt;effect of the ticket
PERMANENT_STORYPOINT;permanenter Storypoint;permanent storypoint
